GEOID,NAME,Total_Population,Median_Household_Income,Poverty_Count,Poverty_Rate,Total_Housing_Units_Calc,Occupied_Housing_Units,Vacant_Housing_Units,Vacancy_Rate,tract,year
56021002000,"Census Tract 20, Laramie County, Wyoming",7442.0,61739.0,321.0,0.043133566245632894,3060.0,2777.0,283.0,0.09248366013071896,002000,2013
56021000600,"Census Tract 6, Laramie County, Wyoming",6177.0,43650.0,696.0,0.11267605633802817,2863.0,2690.0,173.0,0.06042612644079637,000600,2013
56021000700,"Census Tract 7, Laramie County, Wyoming",4053.0,33088.0,532.0,0.13126079447322972,2307.0,1915.0,392.0,0.16991764195925443,000700,2013
56021000800,"Census Tract 8, Laramie County, Wyoming",1706.0,62015.0,120.0,0.07033997655334115,873.0,811.0,62.0,0.07101947308132875,000800,2013
56021001000,"Census Tract 10, Laramie County, Wyoming",3374.0,40848.0,522.0,0.15471250740960285,1728.0,1443.0,285.0,0.16493055555555555,001000,2013
56021001300,"Census Tract 13, Laramie County, Wyoming",7642.0,75739.0,384.0,0.05024862601413243,3179.0,3026.0,153.0,0.0481283422459893,001300,2013
56021000402,"Census Tract 4.02, Laramie County, Wyoming",5323.0,42097.0,963.0,0.18091301897426262,2293.0,2195.0,98.0,0.04273877017008286,000402,2013
56021001100,"Census Tract 11, Laramie County, Wyoming",3084.0,46761.0,31.0,0.010051880674448769,902.0,769.0,133.0,0.14745011086474502,001100,2013
56021001200,"Census Tract 12, Laramie County, Wyoming",4682.0,87143.0,110.0,0.02349423323366083,2169.0,2054.0,115.0,0.05301982480405717,001200,2013
56021001502,"Census Tract 15.02, Laramie County, Wyoming",5157.0,39561.0,1259.0,0.2441341865425635,2399.0,2073.0,326.0,0.13588995414756147,001502,2013
56021000300,"Census Tract 3, Laramie County, Wyoming",3786.0,50461.0,668.0,0.17643951399894348,1453.0,1354.0,99.0,0.06813489332415691,000300,2013
56021000401,"Census Tract 4.01, Laramie County, Wyoming",4975.0,49366.0,780.0,0.15678391959798996,2023.0,1839.0,184.0,0.09095402867029165,000401,2013
56021001501,"Census Tract 15.01, Laramie County, Wyoming",4779.0,71528.0,316.0,0.06612261979493618,2039.0,1847.0,192.0,0.09416380578715057,001501,2013
56021000200,"Census Tract 2, Laramie County, Wyoming",4424.0,30189.0,1603.0,0.3623417721518987,2235.0,1776.0,459.0,0.20536912751677852,000200,2013
56021000900,"Census Tract 9, Laramie County, Wyoming",2410.0,64766.0,71.0,0.02946058091286307,1446.0,1244.0,202.0,0.1396957123098202,000900,2013
56021000501,"Census Tract 5.01, Laramie County, Wyoming",8161.0,67264.0,738.0,0.09043009435118245,3142.0,2954.0,188.0,0.05983450031826862,000501,2013
56021001401,"Census Tract 14.01, Laramie County, Wyoming",4110.0,62054.0,262.0,0.06374695863746958,1631.0,1559.0,72.0,0.04414469650521153,001401,2013
56021001402,"Census Tract 14.02, Laramie County, Wyoming",2450.0,71211.0,155.0,0.06326530612244897,985.0,985.0,0.0,0.0,001402,2013
56021001901,"Census Tract 19.01, Laramie County, Wyoming",5369.0,100572.0,107.0,0.019929223319053828,1982.0,1925.0,57.0,0.02875882946518668,001901,2013
56021001902,"Census Tract 19.02, Laramie County, Wyoming",3969.0,76035.0,182.0,0.04585537918871252,1873.0,1623.0,250.0,0.13347570742124934,001902,2013
56021980801,"Census Tract 9808.01, Laramie County, Wyoming",0.0,,0.0,,0.0,0.0,0.0,,980801,2013
56021000501,"Census Tract 5.01, Laramie County, Wyoming",8376.0,63750.0,958.0,0.11437440305635148,3152.0,2947.0,205.0,0.06503807106598984,000501,2014
56021001401,"Census Tract 14.01, Laramie County, Wyoming",4226.0,68859.0,319.0,0.0754850922858495,1607.0,1607.0,0.0,0.0,001401,2014
56021001402,"Census Tract 14.02, Laramie County, Wyoming",2484.0,72380.0,166.0,0.06682769726247988,997.0,997.0,0.0,0.0,001402,2014
56021001901,"Census Tract 19.01, Laramie County, Wyoming",5601.0,103203.0,206.0,0.03677914658096768,1975.0,1941.0,34.0,0.017215189873417722,001901,2014
56021001902,"Census Tract 19.02, Laramie County, Wyoming",4340.0,81895.0,185.0,0.04262672811059908,1886.0,1655.0,231.0,0.1224814422057264,001902,2014
56021002000,"Census Tract 20, Laramie County, Wyoming",7731.0,66783.0,399.0,0.051610399689561506,3274.0,2958.0,316.0,0.09651802076970067,002000,2014
56021000600,"Census Tract 6, Laramie County, Wyoming",5939.0,45385.0,599.0,0.10085873042599765,2941.0,2740.0,201.0,0.06834410064603877,000600,2014
56021000700,"Census Tract 7, Laramie County, Wyoming",4247.0,34202.0,597.0,0.1405698139863433,2322.0,1925.0,397.0,0.17097329888027563,000700,2014
56021000800,"Census Tract 8, Laramie County, Wyoming",1797.0,63804.0,167.0,0.09293266555370061,877.0,818.0,59.0,0.06727480045610035,000800,2014
56021001000,"Census Tract 10, Laramie County, Wyoming",3356.0,41347.0,671.0,0.1999404052443385,1724.0,1459.0,265.0,0.1537122969837587,001000,2014
56021001300,"Census Tract 13, Laramie County, Wyoming",7671.0,76467.0,360.0,0.046929996089166995,3236.0,3108.0,128.0,0.03955500618046971,001300,2014
